,Origen,Destino,Tipo,Distancia
422,Aparcamiento para residentes. Juan Hurtado de Mendoza,158 - Alberto Alcocer,Publicos Municipales,308.14574061786385
423,Aparcamiento para residentes. Juan Hurtado de Mendoza,158 - Alberto Alcocer,Residentes,308.14574061786385
424,Aparcamiento para residentes. Juan Ramón Jiménez,157 - Castellana 164,Publicos Municipales,227.27479234007603
425,Aparcamiento para residentes. Juan Ramón Jiménez,157 - Castellana 164,Residentes,227.27479234007603
426,Aparcamiento para residentes. Lagasca,190 - Velázquez-Diego de León,Publicos Municipales,110.07699083816472
427,Aparcamiento para residentes. Lagasca,190 - Velázquez-Diego de León,Residentes,110.07699083816472
428,Aparcamiento para residentes. Lardero,221 - Pavones,Publicos Municipales,2864.5437032135114
429,Aparcamiento para residentes. Lardero,221 - Pavones,Residentes,2864.5437032135114
430,Aparcamiento para residentes. Maldonado,143 - Diego de León 52,Publicos Municipales,190.90786490383044
431,Aparcamiento para residentes. Maldonado,143 - Diego de León 52,Residentes,190.90786490383044
432,Aparcamiento para residentes. Manizales,230 - Carlota O’Neill,Publicos Municipales,3613.247598542765
433,Aparcamiento para residentes. Manizales,230 - Carlota O’Neill,Residentes,3613.247598542765
434,Aparcamiento para residentes. Manuel Noya,228 - San Delfín,Publicos Municipales,787.9394056137425
435,Aparcamiento para residentes. Manuel Noya,228 - San Delfín,Residentes,787.9394056137425
436,Aparcamiento para residentes. Marcos de Orueta,217 - Pedro Rico,Publicos Municipales,590.785509378752
437,Aparcamiento para residentes. Marcos de Orueta,217 - Pedro Rico,Residentes,590.785509378752
438,Aparcamiento para residentes. Marqués de Corbera I,233 - Marqués de Corbera 12,Publicos Municipales,207.1528229466801
439,Aparcamiento para residentes. Marqués de Corbera I,233 - Marqués de Corbera 12,Residentes,207.1528229466801
440,Aparcamiento para residentes. Marqués de Corbera II,234 - Marqués de Corbera 52,Publicos Municipales,231.474523240213
441,Aparcamiento para residentes. Marqués de Corbera II,234 - Marqués de Corbera 52,Residentes,231.474523240213
442,Aparcamiento para residentes. Marqués de Samaranch,236 - Paseo Imperial,Publicos Municipales,18.296637915019904
443,Aparcamiento para residentes. Marqués de Samaranch,236 - Paseo Imperial,Residentes,18.296637915019904
444,Aparcamiento para residentes. Marqués de Suances,215 - Gutierre de Cetina,Publicos Municipales,2508.7368013223245
445,Aparcamiento para residentes. Marqués de Suances,215 - Gutierre de Cetina,Residentes,2508.7368013223245
446,Aparcamiento para residentes. Marqués de Zafra,185 - Quinta Fuente del Berro,Publicos Municipales,17.734773226692887
447,Aparcamiento para residentes. Marqués de Zafra,185 - Quinta Fuente del Berro,Residentes,17.734773226692887
448,Aparcamiento para residentes. Marroquina,219 - Marroquina,Publicos Municipales,68.63186546974588
449,Aparcamiento para residentes. Marroquina,219 - Marroquina,Residentes,68.63186546974588
450,Aparcamiento para residentes. Martín de Alzaga,239 - Francos Rodríguez,Publicos Municipales,1162.8459221260991
451,Aparcamiento para residentes. Martín de Alzaga,239 - Francos Rodríguez,Residentes,1162.8459221260991
452,Aparcamiento para residentes. Matilde Gayo,222 - Antonio López,Residentes,238.1244912972776
453,Aparcamiento para residentes. Melchor Fernández Almagro,207 - Remonta,Publicos Municipales,1562.1911416327916
454,Aparcamiento para residentes. Melchor Fernández Almagro,207 - Remonta,Residentes,1562.1911416327916
455,Aparcamiento para residentes. Menasalbas,213 - Glorieta de Cádiz,Publicos Municipales,3006.8876750983422
456,Aparcamiento para residentes. Menasalbas,213 - Glorieta de Cádiz,Residentes,3006.8876750983422
457,Aparcamiento para residentes. Menorca,181 - Retiro-Ibiza,Publicos Municipales,101.31471518265283
458,Aparcamiento para residentes. Menorca,181 - Retiro-Ibiza,Residentes,101.31471518265283
459,Aparcamiento para residentes. Mercedes Arteaga,212 - Marqués de Vadillo,Publicos Municipales,958.9975721405922
460,Aparcamiento para residentes. Mercedes Arteaga,212 - Marqués de Vadillo,Residentes,958.9975721405922
461,Aparcamiento para residentes. Miguel Angel,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Publicos Municipales,250.0542647519189
462,Aparcamiento para residentes. Miguel Angel,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Residentes,250.0542647519189
463,Aparcamiento para residentes. Mirabel,224 - Caramuel,Publicos Municipales,6793.709614344835
464,Aparcamiento para residentes. Mirabel,224 - Caramuel,Residentes,6793.709614344835
465,Aparcamiento para residentes. Misterios,215 - Gutierre de Cetina,Publicos Municipales,965.0822505243376
466,Aparcamiento para residentes. Misterios,215 - Gutierre de Cetina,Residentes,965.0822505243376
467,Aparcamiento para residentes. Mondariz,207 - Remonta,Publicos Municipales,1944.4344369595144
468,Aparcamiento para residentes. Mondariz,207 - Remonta,Residentes,1944.4344369595144
469,Aparcamiento para residentes. Montevideo,151 - Orense 12,Publicos Municipales,200.5200567237427
470,Aparcamiento para residentes. Moralzarzal,217 - Pedro Rico,Publicos Municipales,3026.426555501501
471,Aparcamiento para residentes. Moralzarzal,217 - Pedro Rico,Residentes,3026.426555501501
472,Aparcamiento para residentes. Moratalaz,219 - Marroquina,Publicos Municipales,535.6732855118736
473,Aparcamiento para residentes. Moratalaz,219 - Marroquina,Residentes,535.6732855118736
474,Aparcamiento para residentes. Müller,207 - Remonta,Publicos Municipales,111.92192222798536
475,Aparcamiento para residentes. Müller,207 - Remonta,Residentes,111.92192222798536
476,Aparcamiento para residentes. Narváez,61 - Narváez,Publicos Municipales,116.48330750563488
477,Aparcamiento para residentes. Narváez,61 - Narváez,Residentes,116.48330750563488
478,Aparcamiento para residentes. Navalmoral de la Mata,224 - Caramuel,Publicos Municipales,6412.980897604699
479,Aparcamiento para residentes. Navalmoral de la Mata,224 - Caramuel,Residentes,6412.980897604699
480,Aparcamiento para residentes. Niño Jesús,74 - Puerta del Pacífico ,Publicos Municipales,183.0559853069826
481,Aparcamiento para residentes. Niño Jesús,74 - Puerta del Pacífico ,Residentes,183.0559853069826
482,Aparcamiento para residentes. Nuestra Señora de Gracia,221 - Pavones,Publicos Municipales,676.4190246906544
483,Aparcamiento para residentes. Nuestra Señora de Gracia,221 - Pavones,Residentes,676.4190246906544
484,Aparcamiento para residentes. Ofelia Nieto,239 - Francos Rodríguez,Publicos Municipales,545.9450958563785
485,Aparcamiento para residentes. Ofelia Nieto,239 - Francos Rodríguez,Residentes,545.9450958563785
486,Aparcamiento para residentes. Oporto,212 - Marqués de Vadillo,Publicos Municipales,1936.068061439125
487,Aparcamiento para residentes. Oporto,212 - Marqués de Vadillo,Residentes,1936.068061439125
488,Aparcamiento para residentes. Ortega y Gasset I,145 - Ortega y Gasset 87,Publicos Municipales,148.99476965342404
489,Aparcamiento para residentes. Ortega y Gasset I,145 - Ortega y Gasset 87,Residentes,148.99476965342404
490,Aparcamiento para residentes. Ortega y Gasset II,186 - General Pardiñas,Publicos Municipales,95.46299291180704
491,Aparcamiento para residentes. Ortega y Gasset II,186 - General Pardiñas,Residentes,95.46299291180704
492,Aparcamiento para residentes. Ortega y Gasset III,109 - Marqués de Salamanca,Publicos Municipales,117.66437036380962
493,Aparcamiento para residentes. Ortega y Gasset III,109 - Marqués de Salamanca,Residentes,117.66437036380962
494,Aparcamiento para residentes. Ortega y Gasset IV,88 - Embajada de Italia,Publicos Municipales,121.94771030896328
495,Aparcamiento para residentes. Ortega y Gasset IV,88 - Embajada de Italia,Residentes,121.94771030896328
496,Aparcamiento para residentes. Ortiz Campos,222 - Antonio López,Publicos Municipales,889.6666715020905
497,Aparcamiento para residentes. Ortiz Campos,222 - Antonio López,Residentes,889.6666715020905
498,Aparcamiento para residentes. Osa de la Vega,224 - Caramuel,Publicos Municipales,6307.404084142324
499,Aparcamiento para residentes. Osa de la Vega,224 - Caramuel,Residentes,6307.404084142324
500,Aparcamiento para residentes. Pablo Casals,216 - Puerta del Ángel,Publicos Municipales,524.6410017634587
501,Aparcamiento para residentes. Pablo Casals,216 - Puerta del Ángel,Residentes,524.6410017634587
502,Aparcamiento para residentes. Pablo Iglesias I,132 - Glorieta de los Cuatro Caminos,Publicos Municipales,325.1237409105492
503,Aparcamiento para residentes. Pablo Iglesias I,132 - Glorieta de los Cuatro Caminos,Residentes,325.1237409105492
