;PK;NOMBRE;BARRIO;DISTRITO;LATITUD;LONGITUD;Place address
289;6143690;Aparcamiento mixto. Marqués de Salamanca;LISTA;SALAMANCA;40.43046723981028;-3.6792137901324056;PLAZA MARQUES DE SALAMANCA, 8
290;182188;Aparcamiento mixto. Miguel Yuste;SIMANCAS;SAN BLAS-CANILLEJAS;40.4402052387976;-3.625049272913964;CALLE MIGUEL YUSTE, 11
291;13465;Aparcamiento mixto. Montalbán;LOS JERONIMOS;RETIRO;40.41802725000116;-3.691123387515545;CALLE MONTALBAN, 4
292;5517342;Aparcamiento mixto. Orense;CASTILLEJOS;TETUAN;40.45973534025835;-3.696233037592236;CALLE SOR ANGELA DE LA CRUZ, 27
293;52114;Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella';JUSTICIA;CENTRO;40.4209564450911;-3.699899832865304;PLAZA PEDRO ZEROLO, 1
294;33440;Aparcamiento mixto. Plaza de Oriente;PALACIO;CENTRO;40.41763250956112;-3.711640708800476;PLAZA ORIENTE, 1
295;11544439;Aparcamiento mixto. Plaza de Santo Domingo (cerrado);PALACIO;CENTRO;40.420309392199975;-3.7085594772486696;PLAZA SANTO DOMINGO, 1
296;13466;Aparcamiento mixto. Plaza Mayor;SOL;CENTRO;40.41586882022003;-3.706895619414367;CALLE FELIPE III, 11
297;36271;Aparcamiento mixto. Presidente Carmona;CUATRO CAMINOS;TETUAN;40.45362846199134;-3.6975262417380064;AVENIDA PRESIDENTE CARMONA, 3
298;13476;Aparcamiento mixto. Recoletos (cerrado);RECOLETOS;SALAMANCA;40.42054469225109;-3.691974283683488;PASEO RECOLETOS, 4
299;24193;Aparcamiento mixto. República Dominicana;NUEVA ESPAÑA;CHAMARTIN;40.45887037458626;-3.676527589517668;PLAZA REPUBLICA DOMINICANA, 6
300;81828;Aparcamiento mixto. Reyes Magos;NIÑO JESUS;RETIRO;40.40870074627349;-3.6762488802382896;PLAZA REYES MAGOS, 14
301;167692;Aparcamiento mixto. San Cayetano;GUINDALERA;SALAMANCA;40.43432235224971;-3.6700799322371056;PLAZA SAN CAYETANO, 1
302;13515;Aparcamiento mixto. San Germán II (antes General Yagüe);CASTILLEJOS;TETUAN;40.45673936450418;-3.694067405537416;AVENIDA BRASIL, 15
303;19053;Aparcamiento mixto. Sánchez Bustillo;EMBAJADORES;CENTRO;40.40917205238472;-3.694014559298804;CALLE SANCHEZ BUSTILLO, 1
304;7416748;Aparcamiento mixto. Serrano I;CASTELLANA;SALAMANCA;40.43289700914247;-3.685769778039016;CALLE JUAN BRAVO, 4
305;7417028;Aparcamiento mixto. Serrano II;CASTELLANA;SALAMANCA;40.43059379257075;-3.688281097618061;CALLE JOSE ORTEGA Y GASSET, 1
306;7417052;Aparcamiento mixto. Serrano III;RECOLETOS;SALAMANCA;40.42446775888825;-3.6897747066093993;CALLE JORGE JUAN, 1
307;13460;Aparcamiento mixto. Sevilla;SOL;CENTRO;40.41780383567921;-3.699808226107175;CALLE ALCALA, 17
308;13458;Aparcamiento mixto. Velázquez - Ayala;RECOLETOS;SALAMANCA;40.42720378718548;-3.6841676172873936;CALLE VELAZQUEZ, 47
309;13457;Aparcamiento mixto. Velázquez - Jorge Juan;RECOLETOS;SALAMANCA;40.4243649253884;-3.684339253399854;CALLE VELAZQUEZ, 25
310;183607;Aparcamiento mixto. Verdaguer y García;SAN PASCUAL;CIUDAD LINEAL;40.43992277144076;-3.656505118007155;CALLE VERDAGUER Y GARCIA, 1
311;13452;Aparcamiento público. Almagro;ALMAGRO;CHAMBERI;40.43030345785862;-3.6931471299523446;CALLE ALMAGRO, 13
312;7393089;Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara);CIUDAD JARDIN;CHAMARTIN;40.44426892073378;-3.6777018495296048;CALLE CARTAGENA, 176
313;13473;Aparcamiento público. Descalzas;SOL;CENTRO;40.41809765692244;-3.706306013191402;PLAZA DESCALZAS, 4
314;13478;Aparcamiento público. Glorieta Puerta de Toledo;EMBAJADORES;CENTRO;40.40745328367243;-3.7100131737859567;CALLE CAPITAN SALAZAR MARTINEZ, 2
315;13467;Aparcamiento público. Las Cortes;CORTES;DISTRITO;40.41576756093728;-3.695367083138702;PLAZA LAS CORTES, 0
316;13449;Aparcamiento público. Luna - Tudescos;UNIVERSIDAD;CENTRO;40.4214535549175;-3.705563118253955;PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA, 2
317;13469;Aparcamiento público. Marqués de Urquijo;ARGUELLES;MONCLOA-ARAVACA;40.42955928333471;-3.719111078507027;CALLE MARQUES DE URQUIJO, 27
318;13451;Aparcamiento público. Mostenses;UNIVERSIDAD;CENTRO;40.4227759148193;-3.708830424647755;CALLE GARCIA MOLINAS, 4
319;88141;Aparcamiento público. Museo de la Ciudad;CIUDAD JARDIN;CHAMARTIN;40.44366224087455;-3.678226381400457;CALLE PRINCIPE DE VERGARA, 134
320;13450;Aparcamiento público. Olavide;TRAFALGAR;CHAMBERI;40.43277769820206;-3.7011542013121264;PLAZA OLAVIDE, 17
321;13454;Aparcamiento público. Plaza de Colón;RECOLETOS;SALAMANCA;40.42518540300912;-3.6887800207651495;CALLE GOYA, 2
322;13463;Aparcamiento público. Plaza de España;ARGUELLES;MONCLOA-ARAVACA;40.42372251184839;-3.711657734050852;"PLAZA ESPA&amp;Ntilde;A, 20"
323;13472;Aparcamiento público. Plaza del Carmen (cerrado);SOL;CENTRO;40.41848676016168;-3.703068586180966;PLAZA CARMEN, 10
324;13474;Aparcamiento público. Plaza del Rey;JUSTICIA;CENTRO;40.42018796139455;-3.69587231093941;PLAZA REY, 1
325;13456;Aparcamiento público. Santa Ana;CORTES;CENTRO;40.41487830605113;-3.700897645451053;PLAZA SANTA ANA, 16
326;10737574;Aparcamiento público. Usera;MOSCARDO;USERA;40.38710254642704;-3.706525506169805;CALLE AMPARO USERA, 46
327;13468;Aparcamiento público. Velázquez - Juan Bravo;CASTELLANA;SALAMANCA;40.43199182731912;-3.683449815935094;CALLE VELAZQUEZ, 88
328;13453;Aparcamiento público. Villa de París;JUSTICIA;CENTRO;40.42533530030625;-3.692341664861994;CALLE MARQUES DE LA ENSENADA, 1
